,sex,age,answer_duration,lived_in_prefecture,lived_in_region,lived_in,lives_in_prefecture,lives_in_region,lives_in,changed_city,a1,b1,c1,d1,e1,f1,g1,h1,i1,j1,a2,b2,c2,d2,e2,f2,g2,h2,i2,j2
15,0,2,192,18,5,0,13,3,0,1,5,6,7,3,2,4,8,1,9,10,0,0,0,0,0,0,0,0,0,0
16,1,2,431,31,7,1,11,3,0,1,3,10,9,1,2,4,6,7,8,5,0,0,0,0,0,0,0,0,0,0
17,0,2,222,40,9,1,12,3,0,1,5,3,4,6,2,9,7,1,8,10,0,0,0,0,0,0,0,0,0,0
18,0,2,296,10,3,0,10,3,0,0,3,4,5,8,6,2,10,1,7,9,0,0,0,0,0,0,0,0,0,0
19,1,2,380,32,7,1,14,3,0,1,4,7,8,5,3,1,10,2,6,9,0,0,0,0,0,0,0,0,0,0
20,0,1,238,13,3,0,13,3,0,0,3,6,5,8,1,4,9,2,7,10,0,0,0,0,0,0,0,0,0,0
21,0,3,378,15,4,0,15,4,0,0,5,6,10,2,4,3,7,1,8,9,0,0,0,0,0,0,0,0,0,0
22,0,3,289,40,9,1,40,9,1,0,2,1,5,9,10,6,4,3,7,8,0,0,0,0,0,0,0,0,0,0
23,0,3,273,30,7,1,30,7,1,0,4,8,5,6,3,1,9,2,7,10,0,0,0,0,0,0,0,0,0,0
24,0,2,502,4,1,0,14,3,0,1,2,7,1,10,9,8,3,5,4,6,0,0,0,0,0,0,0,0,0,0
25,0,3,329,39,9,1,39,9,1,0,2,5,6,8,4,3,9,1,7,10,0,0,0,0,0,0,0,0,0,0
26,0,2,296,0,0,0,14,3,0,1,3,2,8,4,9,1,5,7,6,10,0,0,0,0,0,0,0,0,0,0
27,1,2,212,13,3,0,13,3,0,0,4,9,2,7,5,3,10,1,6,8,0,0,0,0,0,0,0,0,0,0
28,1,2,513,25,6,1,25,6,1,0,9,4,5,3,10,1,8,2,6,7,0,0,0,0,0,0,0,0,0,0
29,0,2,282,11,3,0,12,3,0,1,5,6,4,3,2,7,9,1,8,10,0,0,0,0,0,0,0,0,0,0
30,1,1,219,13,3,0,13,3,0,0,7,8,3,1,10,4,5,2,6,9,0,0,0,0,0,0,0,0,0,0
31,1,2,446,13,3,0,13,3,0,0,4,2,3,10,8,6,7,1,5,9,0,0,0,0,0,0,0,0,0,0
32,0,1,260,11,3,0,11,3,0,0,2,4,6,9,3,5,7,1,8,10,0,0,0,0,0,0,0,0,0,0
33,0,5,446,40,9,1,40,9,1,0,5,9,1,10,4,2,3,8,7,6,0,0,0,0,0,0,0,0,0,0
34,0,4,390,35,8,1,35,8,1,0,5,3,2,7,6,10,8,1,4,9,0,0,0,0,0,0,0,0,0,0
35,0,3,421,30,7,1,30,7,1,0,6,3,5,8,4,1,10,2,7,9,0,0,0,0,0,0,0,0,0,0
36,0,1,300,26,6,1,25,6,1,1,1,5,4,3,6,7,9,2,8,10,0,0,0,0,0,0,0,0,0,0
37,1,2,418,29,6,1,29,6,1,0,6,5,2,8,10,4,3,1,7,9,0,0,0,0,0,0,0,0,0,0
38,1,3,310,14,3,0,43,9,1,1,8,2,3,7,1,5,9,4,6,10,0,0,0,0,0,0,0,0,0,0
39,1,3,259,24,5,0,24,5,0,0,6,1,2,7,10,9,5,4,3,8,0,0,0,0,0,0,0,0,0,0
40,1,2,310,0,0,0,0,0,0,0,2,7,10,5,4,1,3,9,8,6,0,0,0,0,0,0,0,0,0,0
41,0,1,246,23,6,1,23,6,1,0,2,3,4,6,10,8,7,1,5,9,0,0,0,0,0,0,0,0,0,0
42,0,2,305,7,2,0,7,2,0,0,4,9,3,5,2,7,10,1,6,8,0,0,0,0,0,0,0,0,0,0
43,0,3,249,30,7,1,30,7,1,0,8,6,5,9,4,3,7,2,1,10,0,0,0,0,0,0,0,0,0,0
44,1,3,391,4,1,0,4,1,0,0,2,6,7,3,4,5,10,8,1,9,0,0,0,0,0,0,0,0,0,0
45,0,0,264,13,3,0,13,3,0,0,4,9,2,5,3,8,7,1,6,10,0,0,0,0,0,0,0,0,0,0
46,0,3,268,26,6,1,26,6,1,0,7,3,10,6,4,5,8,1,2,9,0,0,0,0,0,0,0,0,0,0
47,1,2,251,34,7,1,31,7,1,1,1,4,9,2,8,10,7,3,5,6,0,0,0,0,0,0,0,0,0,0
48,0,1,286,13,3,0,13,3,0,0,2,1,5,3,10,4,9,6,7,8,0,0,0,0,0,0,0,0,0,0
49,1,0,285,17,4,0,17,4,0,0,4,8,1,9,10,3,7,2,6,5,0,0,0,0,0,0,0,0,0,0
50,1,1,326,24,5,0,24,5,0,0,6,8,2,5,4,3,9,1,7,10,0,0,0,0,0,0,0,0,0,0
51,1,1,319,13,3,0,13,3,0,0,3,2,9,5,4,10,1,7,6,8,3,2,1,7,9,4,10,5,6,8
52,0,2,227,31,7,1,31,7,1,0,6,7,4,5,1,3,8,2,9,10,0,0,0,0,0,0,0,0,0,0
53,1,2,291,32,7,1,25,6,1,1,4,9,1,3,10,7,6,5,2,8,0,0,0,0,0,0,0,0,0,0
54,0,1,209,35,8,1,39,9,1,1,7,4,3,5,1,6,10,2,8,9,0,0,0,0,0,0,0,0,0,0
55,0,3,288,36,8,1,24,5,0,1,8,3,2,4,6,7,10,1,5,9,0,0,0,0,0,0,0,0,0,0
56,0,3,248,18,5,0,18,5,0,0,10,3,4,8,1,9,6,2,5,7,6,5,4,1,9,3,10,2,7,8
57,1,2,331,13,3,0,14,3,0,1,3,7,6,9,10,1,2,5,8,4,3,1,6,4,10,2,5,8,7,9
58,0,2,287,31,7,1,14,3,0,1,3,1,6,8,7,2,5,4,9,10,0,0,0,0,0,0,0,0,0,0
59,0,1,252,26,6,1,26,6,1,0,7,1,5,6,10,3,9,2,4,8,5,1,3,4,10,9,7,2,6,8
60,0,1,206,42,9,1,42,9,1,0,7,2,6,5,1,3,9,4,8,10,0,0,0,0,0,0,0,0,0,0
61,1,1,294,19,5,0,13,3,0,1,3,2,6,9,10,8,5,1,7,4,0,0,0,0,0,0,0,0,0,0
62,1,1,272,13,3,0,31,7,1,1,7,8,2,6,9,4,5,1,3,10,0,0,0,0,0,0,0,0,0,0
63,1,3,214,43,9,1,45,9,1,1,5,4,7,3,8,10,6,1,2,9,0,0,0,0,0,0,0,0,0,0
64,1,1,362,11,3,0,13,3,0,1,3,1,6,5,4,10,2,9,8,7,0,0,0,0,0,0,0,0,0,0
65,0,2,413,39,9,1,13,3,0,1,3,7,1,4,6,5,10,2,8,9,0,0,0,0,0,0,0,0,0,0
66,0,2,356,46,10,1,46,10,1,0,7,5,2,8,3,4,9,1,6,10,0,0,0,0,0,0,0,0,0,0
67,1,4,412,18,5,0,26,6,1,1,9,1,6,5,4,3,7,2,10,8,0,0,0,0,0,0,0,0,0,0
68,0,3,281,13,3,0,13,3,0,0,9,1,2,5,10,8,3,4,6,7,0,0,0,0,0,0,0,0,0,0
69,0,2,239,29,6,1,18,5,0,1,6,1,8,9,7,2,5,3,4,10,0,0,0,0,0,0,0,0,0,0
70,0,2,258,13,3,0,10,3,0,1,8,3,2,9,7,5,6,1,4,10,0,0,0,0,0,0,0,0,0,0
71,1,2,223,0,0,0,18,5,0,1,4,9,7,5,2,10,3,1,6,8,0,0,0,0,0,0,0,0,0,0
72,1,3,383,26,6,1,29,6,1,1,3,8,1,6,9,10,7,4,2,5,0,0,0,0,0,0,0,0,0,0
73,0,2,303,29,6,1,29,6,1,0,7,1,3,10,6,4,2,5,9,8,5,1,3,4,2,10,9,6,7,8
74,1,2,191,11,3,0,11,3,0,0,2,10,5,3,1,7,8,4,6,9,0,0,0,0,0,0,0,0,0,0
75,1,1,355,4,1,0,12,3,0,1,1,4,6,7,2,9,10,5,3,8,0,0,0,0,0,0,0,0,0,0
76,1,2,496,14,3,0,14,3,0,0,3,2,4,7,6,10,8,1,5,9,0,0,0,0,0,0,0,0,0,0
77,0,1,352,13,3,0,13,3,0,0,1,4,3,8,7,9,5,2,6,10,0,0,0,0,0,0,0,0,0,0
78,1,0,245,26,6,1,26,6,1,0,2,6,4,3,9,8,10,1,5,7,0,0,0,0,0,0,0,0,0,0
79,0,2,399,9,3,0,9,3,0,0,5,4,6,8,2,3,9,1,7,10,0,0,0,0,0,0,0,0,0,0
80,0,4,290,25,6,1,18,5,0,1,1,4,10,2,8,9,5,7,6,3,0,0,0,0,0,0,0,0,0,0
81,1,1,222,30,7,1,12,3,0,1,7,8,6,4,9,3,5,10,2,1,0,0,0,0,0,0,0,0,0,0
82,1,0,328,29,6,1,29,6,1,0,8,9,4,7,10,5,6,1,2,3,0,0,0,0,0,0,0,0,0,0
83,1,1,326,29,6,1,33,7,1,1,4,6,3,1,9,10,7,2,5,8,0,0,0,0,0,0,0,0,0,0
84,1,2,320,1,1,0,1,1,0,0,6,8,2,5,10,1,9,4,3,7,0,0,0,0,0,0,0,0,0,0
85,0,0,197,13,3,0,13,3,0,0,4,5,2,7,8,1,6,3,9,10,0,0,0,0,0,0,0,0,0,0
86,0,2,295,11,3,0,9,3,0,1,6,1,7,5,2,3,9,4,8,10,0,0,0,0,0,0,0,0,0,0
87,1,2,421,14,3,0,14,3,0,0,9,3,4,10,5,6,7,2,1,8,0,0,0,0,0,0,0,0,0,0
88,0,4,316,13,3,0,13,3,0,0,7,10,4,6,2,3,8,1,5,9,0,0,0,0,0,0,0,0,0,0
89,1,2,548,43,9,1,43,9,1,0,6,9,3,7,1,4,10,2,5,8,0,0,0,0,0,0,0,0,0,0
90,0,3,399,16,3,0,16,3,0,0,3,6,2,8,4,5,9,1,10,7,0,0,0,0,0,0,0,0,0,0
91,0,0,334,0,0,0,13,3,0,1,6,5,1,9,10,2,8,4,3,7,0,0,0,0,0,0,0,0,0,0
92,0,3,285,35,8,1,35,8,1,0,6,7,4,5,2,1,8,3,9,10,0,0,0,0,0,0,0,0,0,0
93,1,1,279,14,3,0,14,3,0,0,9,10,2,7,8,5,4,1,3,6,0,0,0,0,0,0,0,0,0,0
94,1,2,509,13,3,0,29,6,1,1,5,3,9,10,6,4,1,8,2,7,0,0,0,0,0,0,0,0,0,0
95,1,3,214,0,0,0,0,0,0,0,4,7,5,6,2,1,8,3,9,10,0,0,0,0,0,0,0,0,0,0
96,1,2,231,13,3,0,13,3,0,0,8,5,3,10,1,6,9,2,7,4,0,0,0,0,0,0,0,0,0,0
97,1,0,179,29,6,1,29,6,1,0,7,9,6,8,2,5,10,1,4,3,0,0,0,0,0,0,0,0,0,0
98,1,2,292,13,3,0,13,3,0,0,5,1,7,6,8,3,10,2,4,9,0,0,0,0,0,0,0,0,0,0
99,0,1,320,34,7,1,31,7,1,1,5,3,2,4,6,10,8,1,9,7,0,0,0,0,0,0,0,0,0,0
100,0,2,270,13,3,0,13,3,0,0,8,3,2,5,9,10,6,1,4,7,0,0,0,0,0,0,0,0,0,0
101,0,3,362,3,1,0,3,1,0,0,5,6,1,4,3,8,10,2,7,9,0,0,0,0,0,0,0,0,0,0
102,1,2,196,17,4,0,17,4,0,0,6,2,7,8,5,3,9,4,1,10,0,0,0,0,0,0,0,0,0,0
103,0,0,338,27,6,1,27,6,1,0,2,9,10,3,4,5,7,8,6,1,0,0,0,0,0,0,0,0,0,0
104,0,2,293,8,3,0,29,6,1,1,10,3,1,8,5,4,6,2,7,9,0,0,0,0,0,0,0,0,0,0
105,1,2,292,14,3,0,13,3,0,1,2,7,4,3,1,6,9,10,5,8,0,0,0,0,0,0,0,0,0,0
106,1,1,248,14,3,0,14,3,0,0,5,9,1,7,3,2,6,10,4,8,0,0,0,0,0,0,0,0,0,0
107,1,4,279,39,9,1,39,9,1,0,5,2,10,4,3,1,7,6,8,9,0,0,0,0,0,0,0,0,0,0
108,1,0,364,18,5,0,18,5,0,0,4,5,2,10,9,3,6,1,7,8,0,0,0,0,0,0,0,0,0,0
109,0,0,208,9,3,0,9,3,0,0,8,1,5,7,4,3,6,2,9,10,0,0,0,0,0,0,0,0,0,0
110,0,2,686,4,1,0,4,1,0,0,4,3,5,6,2,8,7,1,10,9,0,0,0,0,0,0,0,0,0,0
111,1,0,259,7,2,0,7,2,0,0,3,7,2,9,8,10,4,1,5,6,0,0,0,0,0,0,0,0,0,0
112,0,4,341,40,9,1,39,9,1,1,1,5,8,3,2,7,9,4,6,10,0,0,0,0,0,0,0,0,0,0
113,0,3,252,4,1,0,4,1,0,0,3,5,1,10,8,9,6,2,4,7,0,0,0,0,0,0,0,0,0,0
114,0,3,353,21,2,0,9,3,0,1,4,8,2,5,7,9,10,1,3,6,0,0,0,0,0,0,0,0,0,0
115,0,4,406,18,5,0,18,5,0,0,4,3,8,5,1,6,7,2,9,10,0,0,0,0,0,0,0,0,0,0
116,0,0,332,14,3,0,14,3,0,0,2,1,5,6,10,3,7,4,9,8,0,0,0,0,0,0,0,0,0,0
117,0,1,202,30,7,1,29,6,1,1,2,9,6,5,4,1,10,3,7,8,0,0,0,0,0,0,0,0,0,0
118,1,2,327,30,7,1,30,7,1,0,1,10,5,2,3,6,9,4,7,8,0,0,0,0,0,0,0,0,0,0
119,0,1,280,13,3,0,13,3,0,0,5,3,7,9,1,6,8,2,4,10,3,2,4,10,6,5,8,1,7,9
120,0,2,264,30,7,1,30,7,1,0,4,6,9,7,2,1,10,3,5,8,0,0,0,0,0,0,0,0,0,0
121,1,1,247,13,3,0,13,3,0,0,4,1,6,3,10,8,2,5,9,7,7,3,8,5,2,4,6,1,9,10
122,0,2,207,7,2,0,7,2,0,0,5,10,6,3,4,2,8,1,7,9,0,0,0,0,0,0,0,0,0,0
123,0,1,274,14,3,0,14,3,0,0,9,7,1,10,5,2,6,4,8,3,0,0,0,0,0,0,0,0,0,0
124,1,1,215,17,4,0,15,4,0,1,4,2,7,8,1,3,5,6,9,10,0,0,0,0,0,0,0,0,0,0
125,1,0,202,16,3,0,16,3,0,0,5,9,3,4,1,7,8,2,6,10,0,0,0,0,0,0,0,0,0,0
126,1,2,230,20,2,0,31,7,1,1,3,7,5,4,2,1,8,9,6,10,0,0,0,0,0,0,0,0,0,0
127,1,2,281,31,7,1,26,6,1,1,7,2,1,10,8,3,6,5,4,9,0,0,0,0,0,0,0,0,0,0
128,1,1,261,23,6,1,23,6,1,0,1,10,4,5,8,3,2,9,6,7,0,0,0,0,0,0,0,0,0,0
129,0,5,489,13,3,0,14,3,0,1,8,7,3,2,5,4,10,1,6,9,0,0,0,0,0,0,0,0,0,0
130,0,1,215,43,9,1,43,9,1,0,4,5,9,6,1,2,7,3,10,8,0,0,0,0,0,0,0,0,0,0
131,0,1,269,21,2,0,21,2,0,0,5,6,2,7,3,8,9,1,4,10,0,0,0,0,0,0,0,0,0,0
132,0,2,187,11,3,0,11,3,0,0,6,5,1,7,10,8,4,2,3,9,0,0,0,0,0,0,0,0,0,0
133,1,2,201,13,3,0,13,3,0,0,5,3,4,9,2,6,7,1,8,10,0,0,0,0,0,0,0,0,0,0
134,1,1,561,46,10,1,46,10,1,0,9,6,3,5,1,10,7,2,4,8,0,0,0,0,0,0,0,0,0,0
135,0,2,322,9,3,0,9,3,0,0,10,9,2,8,7,5,3,1,4,6,0,0,0,0,0,0,0,0,0,0
136,1,1,230,25,6,1,25,6,1,0,6,4,1,9,10,8,7,3,2,5,0,0,0,0,0,0,0,0,0,0
137,1,2,397,18,5,0,18,5,0,0,5,2,1,6,9,4,7,8,3,10,0,0,0,0,0,0,0,0,0,0
138,0,3,209,19,5,0,19,5,0,0,1,4,5,2,8,7,3,6,9,10,0,0,0,0,0,0,0,0,0,0
139,1,3,314,0,0,0,0,0,0,0,1,5,6,8,4,3,2,7,10,9,0,0,0,0,0,0,0,0,0,0
140,1,2,222,29,6,1,29,6,1,0,2,3,6,1,8,4,10,5,7,9,0,0,0,0,0,0,0,0,0,0
141,1,1,301,11,3,0,11,3,0,0,4,1,10,6,9,7,3,8,5,2,0,0,0,0,0,0,0,0,0,0
142,1,2,207,25,6,1,26,6,1,1,1,10,7,5,8,9,6,3,4,2,0,0,0,0,0,0,0,0,0,0
143,0,5,366,4,1,0,4,1,0,0,10,7,2,5,4,6,8,1,3,9,0,0,0,0,0,0,0,0,0,0
144,0,2,320,13,3,0,13,3,0,0,4,7,6,5,1,3,8,2,9,10,0,0,0,0,0,0,0,0,0,0
145,0,1,266,26,6,1,26,6,1,0,5,8,1,2,6,7,10,4,3,9,0,0,0,0,0,0,0,0,0,0
146,0,1,213,14,3,0,14,3,0,0,5,2,6,8,9,3,1,4,7,10,8,1,3,7,5,6,9,2,4,10
147,0,3,321,12,3,0,12,3,0,0,5,8,2,3,1,7,10,6,4,9,0,0,0,0,0,0,0,0,0,0
148,0,3,270,26,6,1,26,6,1,0,4,7,6,8,3,2,5,1,9,10,0,0,0,0,0,0,0,0,0,0
149,1,2,258,34,7,1,31,7,1,1,8,4,6,5,2,1,9,3,10,7,0,0,0,0,0,0,0,0,0,0
150,1,2,213,14,3,0,13,3,0,1,9,3,6,7,4,2,8,1,5,10,0,0,0,0,0,0,0,0,0,0
151,1,2,206,10,3,0,6,1,0,1,3,9,7,6,1,4,10,2,5,8,0,0,0,0,0,0,0,0,0,0
152,0,2,218,12,3,0,12,3,0,0,10,4,2,8,7,5,6,1,3,9,0,0,0,0,0,0,0,0,0,0
153,0,2,392,5,1,0,18,5,0,1,8,4,5,6,1,3,10,2,7,9,0,0,0,0,0,0,0,0,0,0
154,1,1,259,18,5,0,18,5,0,0,10,7,2,5,9,6,3,1,4,8,0,0,0,0,0,0,0,0,0,0
155,0,4,305,13,3,0,13,3,0,0,5,6,4,9,1,2,7,3,8,10,2,7,5,4,9,10,1,3,8,6
156,0,2,429,12,3,0,12,3,0,0,4,9,3,2,6,10,5,1,8,7,0,0,0,0,0,0,0,0,0,0
157,1,3,211,18,5,0,18,5,0,0,8,5,3,10,6,7,4,1,2,9,0,0,0,0,0,0,0,0,0,0
158,0,1,304,43,9,1,43,9,1,0,7,3,4,5,2,8,6,1,9,10,0,0,0,0,0,0,0,0,0,0
159,1,3,241,39,9,1,26,6,1,1,3,7,5,6,2,4,9,1,8,10,0,0,0,0,0,0,0,0,0,0
160,0,1,222,26,6,1,26,6,1,0,5,7,1,10,8,4,2,3,6,9,0,0,0,0,0,0,0,0,0,0
161,1,2,241,13,3,0,13,3,0,0,6,4,5,9,3,1,10,2,8,7,1,2,10,3,5,4,7,9,6,8
162,1,1,264,31,7,1,8,3,0,1,4,2,1,3,8,9,6,7,5,10,0,0,0,0,0,0,0,0,0,0
163,1,4,523,18,5,0,14,3,0,1,6,3,1,4,9,7,8,5,2,10,0,0,0,0,0,0,0,0,0,0
164,0,3,284,16,3,0,16,3,0,0,3,4,1,5,10,6,7,9,2,8,0,0,0,0,0,0,0,0,0,0
165,1,3,290,20,2,0,20,2,0,0,3,2,4,8,10,9,6,1,5,7,0,0,0,0,0,0,0,0,0,0
166,0,3,191,29,6,1,29,6,1,0,6,1,5,7,3,4,10,2,8,9,0,0,0,0,0,0,0,0,0,0
167,0,0,336,11,3,0,11,3,0,0,7,3,6,8,2,9,4,1,5,10,0,0,0,0,0,0,0,0,0,0
168,1,4,335,26,6,1,13,3,0,1,9,10,4,5,8,2,6,1,3,7,0,0,0,0,0,0,0,0,0,0
169,0,1,234,11,3,0,11,3,0,0,5,6,1,9,8,2,7,4,3,10,0,0,0,0,0,0,0,0,0,0
170,0,3,360,18,5,0,18,5,0,0,5,1,6,9,3,4,7,2,8,10,0,0,0,0,0,0,0,0,0,0
171,0,2,245,25,6,1,25,6,1,0,7,3,9,5,1,2,8,4,6,10,0,0,0,0,0,0,0,0,0,0
172,0,2,276,18,5,0,18,5,0,0,1,5,7,6,4,3,10,2,8,9,0,0,0,0,0,0,0,0,0,0
173,0,4,425,13,3,0,13,3,0,0,3,7,6,8,1,4,5,2,9,10,0,0,0,0,0,0,0,0,0,0
174,0,3,288,13,3,0,11,3,0,1,3,9,5,1,8,7,2,4,6,10,0,0,0,0,0,0,0,0,0,0
175,0,2,315,6,1,0,6,1,0,0,8,5,2,10,3,4,7,1,6,9,0,0,0,0,0,0,0,0,0,0
176,0,1,211,18,5,0,18,5,0,0,4,2,6,7,9,10,1,3,5,8,0,0,0,0,0,0,0,0,0,0
177,1,1,379,39,9,1,39,9,1,0,3,8,6,1,5,7,9,4,2,10,0,0,0,0,0,0,0,0,0,0
178,1,0,270,43,9,1,43,9,1,0,5,7,2,6,10,4,8,1,3,9,0,0,0,0,0,0,0,0,0,0
179,0,4,182,39,9,1,13,3,0,1,3,2,5,6,7,4,9,1,8,10,0,0,0,0,0,0,0,0,0,0
180,0,3,259,13,3,0,12,3,0,1,5,9,6,2,1,4,7,10,3,8,0,0,0,0,0,0,0,0,0,0
181,1,1,316,16,3,0,13,3,0,1,5,7,4,6,2,1,10,3,8,9,0,0,0,0,0,0,0,0,0,0
182,0,3,286,6,1,0,13,3,0,1,4,2,3,1,10,9,6,5,8,7,0,0,0,0,0,0,0,0,0,0
183,1,2,216,23,6,1,23,6,1,0,6,1,7,9,3,2,5,4,8,10,0,0,0,0,0,0,0,0,0,0
184,0,3,207,45,9,1,13,3,0,1,2,4,3,7,5,6,9,1,8,10,0,0,0,0,0,0,0,0,0,0
185,0,4,406,42,9,1,26,6,1,1,10,8,4,2,3,1,9,5,6,7,0,0,0,0,0,0,0,0,0,0
186,0,3,275,39,9,1,36,8,1,1,2,7,9,3,4,10,8,1,5,6,0,0,0,0,0,0,0,0,0,0
187,0,1,219,29,6,1,29,6,1,0,7,1,3,10,8,4,5,2,6,9,0,0,0,0,0,0,0,0,0,0
188,0,1,199,13,3,0,13,3,0,0,3,4,8,7,5,6,1,10,9,2,7,8,4,9,3,1,5,2,6,10
189,0,3,322,16,3,0,16,3,0,0,3,7,2,10,4,5,8,1,6,9,0,0,0,0,0,0,0,0,0,0
190,0,2,277,18,5,0,18,5,0,0,3,9,5,7,1,4,8,2,6,10,0,0,0,0,0,0,0,0,0,0
191,0,4,348,16,3,0,14,3,0,1,2,4,3,1,8,9,10,6,5,7,0,0,0,0,0,0,0,0,0,0
192,1,2,272,2,1,0,8,3,0,1,2,7,3,8,10,5,4,1,6,9,0,0,0,0,0,0,0,0,0,0
193,1,2,194,29,6,1,29,6,1,0,4,3,8,9,2,1,10,5,6,7,0,0,0,0,0,0,0,0,0,0
194,1,0,318,14,3,0,14,3,0,0,1,6,7,4,10,8,9,2,3,5,0,0,0,0,0,0,0,0,0,0
195,1,2,221,26,6,1,0,0,0,1,4,1,6,7,10,2,3,8,5,9,0,0,0,0,0,0,0,0,0,0
196,1,2,318,12,3,0,21,2,0,1,1,9,4,6,10,2,8,5,3,7,0,0,0,0,0,0,0,0,0,0
197,0,3,302,25,6,1,46,10,1,1,8,2,9,7,4,6,3,1,5,10,0,0,0,0,0,0,0,0,0,0
198,1,2,508,14,3,0,14,3,0,0,5,3,4,10,1,7,9,2,8,6,0,0,0,0,0,0,0,0,0,0
199,1,1,207,13,3,0,11,3,0,1,1,2,8,3,10,9,7,5,4,6,0,0,0,0,0,0,0,0,0,0
200,1,0,170,26,6,1,26,6,1,0,3,7,5,2,10,9,1,8,4,6,0,0,0,0,0,0,0,0,0,0
201,1,1,280,26,6,1,27,6,1,1,5,7,3,6,9,10,1,4,2,8,0,0,0,0,0,0,0,0,0,0
202,0,4,306,29,6,1,29,6,1,0,5,4,7,8,2,3,9,1,6,10,0,0,0,0,0,0,0,0,0,0
203,0,1,260,18,5,0,10,3,0,1,9,6,5,8,7,2,1,4,3,10,0,0,0,0,0,0,0,0,0,0
204,1,2,267,25,6,1,25,6,1,0,8,4,3,5,10,2,6,1,7,9,0,0,0,0,0,0,0,0,0,0
205,1,2,316,27,6,1,26,6,1,1,6,9,2,7,4,5,8,1,3,10,0,0,0,0,0,0,0,0,0,0
206,0,4,315,27,6,1,27,6,1,0,2,3,7,4,5,6,8,1,10,9,0,0,0,0,0,0,0,0,0,0
207,1,2,208,11,3,0,11,3,0,0,1,2,5,7,6,4,3,8,9,10,0,0,0,0,0,0,0,0,0,0
208,0,1,220,29,6,1,29,6,1,0,10,6,3,9,7,8,5,1,2,4,0,0,0,0,0,0,0,0,0,0
209,1,1,238,26,6,1,26,6,1,0,7,6,3,2,10,1,9,4,5,8,0,0,0,0,0,0,0,0,0,0
210,0,3,218,36,8,1,26,6,1,1,1,5,6,3,2,8,7,4,10,9,0,0,0,0,0,0,0,0,0,0
211,1,4,345,13,3,0,13,3,0,0,4,7,2,5,8,6,10,1,3,9,0,0,0,0,0,0,0,0,0,0
212,0,1,462,18,5,0,18,5,0,0,10,4,6,5,3,2,9,1,7,8,0,0,0,0,0,0,0,0,0,0
213,0,4,298,0,0,0,12,3,0,1,1,9,3,4,8,10,6,2,5,7,0,0,0,0,0,0,0,0,0,0
214,1,3,316,19,5,0,19,5,0,0,5,4,3,6,10,7,8,1,2,9,0,0,0,0,0,0,0,0,0,0
215,1,2,246,15,4,0,0,0,0,1,4,1,3,6,7,8,9,2,5,10,0,0,0,0,0,0,0,0,0,0
216,1,1,283,40,9,1,40,9,1,0,7,1,4,8,6,5,10,2,3,9,0,0,0,0,0,0,0,0,0,0
217,0,2,323,26,6,1,26,6,1,0,3,8,2,7,5,9,10,1,4,6,7,6,2,8,4,3,10,1,5,9
218,0,2,251,26,6,1,23,6,1,1,10,9,3,4,1,7,8,2,5,6,0,0,0,0,0,0,0,0,0,0
219,0,3,385,13,3,0,20,2,0,1,5,3,1,7,6,10,8,4,2,9,0,0,0,0,0,0,0,0,0,0
220,0,2,226,28,6,1,28,6,1,0,8,9,3,10,5,6,4,1,2,7,0,0,0,0,0,0,0,0,0,0
